Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRC	22849	1e-20	3.31	10.244	-1.62987603590289	5.66341093670886e-20	CPEB3
KIRC	3416	1.0182e-09	17.853	23.534	-0.398580028108503	2.79836092405997e-09	IDE
KIRC	3832	2.6283e-07	4.189	2.232	0.908268857037336	6.15416224874372e-07	KIF11
KIRC	3087	2.4838e-15	14.121	9.367	0.592183288588913	9.86200440262737e-15	HHEX
KIRC	54536	4.955e-05	13.724	16.888	-0.299297452789501	9.84747911853563e-05	EXOC6
KIRC	340665	0.0016402	1	1	0	0.00288175280439906	CYP26C1
KIRC	1592	0.049457	1	1	0	0.0710896697943445	CYP26A1
KIRC	26509	5.2694e-13	85.034	54.506	0.641624753922684	1.79904442680507e-12	MYOF
KIRC	55165	3.9935e-18	4.197	1	2.06935846322382	1.89475224862113e-17	CEP55
KIRC	338557	1e-20	1.018	1	0.0257375614136083	5.66341093670886e-20	FFAR4
KIRC	5950	0.8849	18.607	137.134	-2.88166893266241	0.894619780319125	RBP4
KIRC	5146	1.182e-06	1	1	0	2.64286833949815e-06	PDE6C
KIRC	118924	7.9478e-15	21.439	17.169	0.320431601625062	3.04749691068061e-14	FRA10AC1
KIRC	9211	0.20992	1	1	0	0.256617332750328	LGI1
KIRC	159371	0.049384	3.795	4.245	-0.161664668137572	0.0710075566698811	SLC35G1
KIRC	51196	4.1899e-07	5.095	9.594	-0.913050293148312	9.66793597441453e-07	PLCE1
KIRC	101927049	0.098367	1	1	0	0.132041550954267	PLCE1-AS2
KIRC	100128054	0.04105	1	1	0	0.0600670134118417	PLCE1-AS1
KIRC	64318	0.013811	16.274	15.188	0.099636991741232	0.0218920500354359	NOC3L
KIRC	23232	0.018842	9.069	8.845	0.0360813367710426	0.0292673221751511	TBC1D12
KIRC	3070	0.27766	6.001	5.684	0.0782963752787393	0.326809831079303	HELLS
KIRC	1562	0.033693	1	1	0	0.0502184218312675	CYP2C18
KIRC	1557	0.16886	1	1	0	0.212641335510388	CYP2C19
KIRC	1559	3.0054e-05	1	1	0	6.06941547629797e-05	CYP2C9
KIRC	1558	1.2047e-12	2.467	1	1.30275771563804	4.02574633198864e-12	CYP2C8
KIRC	142827	0.10244	1	1	0	0.136966346245815	ACSM6
KIRC	9124	1e-20	380.989	111.036	1.7787218426943	5.66341093670886e-20	PDLIM1
KIRC	10580	3.3874e-05	38.419	26.459	0.53806143092485	6.80950821499191e-05	SORBS1
KIRC	5832	0.01567	66.511	62.304	0.0942681729928681	0.0246414413274274	ALDH18A1
KIRC	26123	2.4882e-08	84.084	93.055	-0.146252368707085	6.24801630178511e-08	TCTN3
KIRC	953	1e-20	15.223	7.348	1.05082916753096	5.66341093670886e-20	ENTPD1
KIRC	728558	0.0066847	2.694	2.538	0.0860577816211973	0.0110274376899248	ENTPD1-AS1
KIRC	387707	0.0020778	1	1	0	0.00361678533738034	CC2D2B
KIRC	54619	0.0027884	4.825	5.649	-0.227466558292579	0.00478886235122476	CCNJ
KIRC	100422892	0.0044807	1	1	0	0.00752706445846477	MIR3157
KIRC	9849	0.020829	10.096	11.934	-0.241293866572351	0.0321749716140617	ZNF518A
KIRC	29760	1e-20	7.198	18.639	-1.3726564527381	5.66341093670886e-20	BLNK
