Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUAD	79780	0.77335	20.418	21.883	-0.0999689775401265	0.790662482223955	CCDC82
LUAD	8690	1e-20	15.083	9.054	0.736296196660661	5.48805712878601e-20	JRKL
LUAD	105369443	0.17509	1	1	0	0.207974781751319	AP003781.1
LUAD	53942	0.012366	1	1	0	0.0181447785897689	CNTN5
LUAD	143872	2.6172e-06	7.396	6.78	0.125459951380489	5.78608634064081e-06	ARHGAP42
LUAD	5241	1.7391e-08	1	1.895	-0.922197848396367	4.4938344e-08	PGR
LUAD	7225	0.019158	6.524	15.688	-1.26583275348026	0.0272879367290855	TRPC6
LUAD	100500823	0.041417	1	1	0	0.0557168273676586	MIR3920
LUAD	253935	0.00029217	1	1	0	0.00053841514718042	ANGPTL5
LUAD	57562	0.0086333	2.476	4.067	-0.715953676247868	0.0129490784776903	CEP126
LUAD	85016	0.043361	4.42	5.455	-0.303532826932176	0.0581635032801685	CFAP300
LUAD	10413	0.41103	57.913	65.458	-0.176682290011951	0.437449291342343	YAP1
LUAD	330	0.00012052	33.718	28.784	0.228251872939343	0.000231295034874709	BIRC3
LUAD	329	0.0070702	42.721	40.446	0.0789483865087752	0.0107419420137705	BIRC2
LUAD	114908	1.1385e-14	247.998	207.661	0.256098191217222	4.39524501992032e-14	TMEM123
LUAD	101928424	1.2185e-07	2.378	1.288	0.884616121631039	2.97542560534677e-07	AP001830.1
LUAD	4316	3.2795e-19	87.634	35.382	1.30847511132484	1.6569987871231e-18	MMP7
LUAD	9313	0.086625	1	1	0	0.110081615634622	MMP20
LUAD	64066	0.30833	1	1	0	0.342999812079237	MMP27
LUAD	4317	2.7265e-06	1	1	0	6.01638668316832e-06	MMP8
LUAD	4319	0.00094279	1.825	1	0.867896463992655	0.00162392462555066	MMP10
LUAD	4312	2.9503e-10	36.427	1.345	4.75933010677329	8.59520733333333e-10	MMP1
LUAD	4314	2.5518e-14	1	1	0	9.6230061928934e-14	MMP3
LUAD	4321	1e-20	19.19	1	4.26228280642066	5.48805712878601e-20	MMP12
LUAD	4322	2.4652e-13	5.068	1	2.34141652447872	8.79633563880884e-13	MMP13
LUAD	84259	1e-20	5.069	3.179	0.6731281474515	5.48805712878601e-20	DCUN1D5
