Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
THCA	63905	1.2466e-05	138.755	156.177	-0.170642245613317	3.13901737125288e-05	MANBAL
THCA	6714	1e-20	29.513	20.68	0.513114392695522	1.62178217821782e-19	SRC
THCA	10904	0.49212	117.009	121.831	-0.0582617728354098	0.536144037246425	BLCAP
THCA	4826	0.00031048	1	1.359	-0.442545456105304	0.000655157797101449	NNAT
THCA	100287792	0.16225	1	1	0	0.214456727859592	AL162293.1
THCA	56259	3.1268e-09	53.912	60.913	-0.17614372879535	1.24868713531085e-08	CTNNBL1
THCA	128434	1e-20	12.159	3.122	1.96148213879009	1.62178217821782e-19	VSTM2L
THCA	9675	7.4993e-12	18.779	26.87	-0.516876081226946	4.20320047904192e-11	TTI1
THCA	58490	1.2152e-14	25.804	38.165	-0.56465546936837	9.8784e-14	RPRD1B
THCA	7052	1e-20	63.126	24.83	1.34615007563092	1.62178217821782e-19	TGM2
THCA	85449	9.3229e-05	1	1.559	-0.640620928035698	0.000210005641072656	KIAA1755
THCA	671	0.31779	1	1	0	0.364949768637532	BPI
THCA	3929	0.096707	1	1	0	0.13627868779124	LBP
THCA	388796	0.45727	34.985	33.1	0.0799052746201755	0.502088217617159	SNHG17
THCA	26776	0.0016426	1.58	2.342	-0.56781651743675	0.00316352592592593	SNORA71B
THCA	128439	0.35057	26.184	27.157	-0.0526386081634369	0.396137046277666	SNHG11
THCA	57148	0.69509	29.942	31.257	-0.0620087266831122	0.728365979315492	RALGAPB
THCA	100616190	0.45075	1	1	0	0.49571655569854	MIR548O2
THCA	149685	2.3358e-09	1	6.488	-2.69777381955519	9.49978994413408e-09	ADIG
THCA	343578	2.1682e-07	1	1	0	6.79173533067729e-07	ARHGAP40
THCA	140679	0.32146	1	1	0	0.366764439284885	SLC32A1
THCA	79913	2.4893e-19	8.038	10.665	-0.407975483169188	3.47758925373134e-18	ACTR5
THCA	26051	6.2247e-07	3.579	7.946	-1.15067224967171	1.84016699052489e-06	PPP1R16B
THCA	81610	0.025606	1	1	0	0.0408232642335766	FAM83D
THCA	60625	1.6112e-13	9.712	14.256	-0.55372891526624	1.12423667731629e-12	DHX35
THCA	9935	3.2582e-14	32.953	130.192	-1.98215908344234	2.49001474339036e-13	MAFB
THCA	7150	0.032837	78.933	87.458	-0.147961774415629	0.0512990042918455	TOP1
THCA	101927117	1.5296e-05	1.572	2.417	-0.620616255506976	3.80291140905641e-05	PLCG1-AS1
THCA	5335	0.51885	32.86	35.669	-0.118338289336079	0.561870728885461	PLCG1
THCA	102466912	0.27401	1	1	0	0.336537150712322	MIR6871
THCA	23051	6.9193e-17	11.411	26.553	-1.21844964083969	7.40772117647059e-16	ZHX3
THCA	64900	6.9376e-07	10.28	15.373	-0.580558466065407	2.03865249813126e-06	LPIN3
THCA	90187	2.1072e-12	1	1	0	1.26896823529412e-11	EMILIN3
THCA	84181	6.7917e-09	19.278	27.764	-0.526260047427278	2.58766534599729e-08	CHD6
THCA	11122	0.12175	1	1	0	0.167012212994626	PTPRT
THCA	6431	2.2907e-09	75.565	97.974	-0.374680777199935	9.32987965188562e-09	SRSF6
THCA	26013	0.00020145	2.049	3.033	-0.565825513612924	0.000434893047775947	L3MBTL1
THCA	10110	7.3199e-17	1.335	1	0.416839741912829	7.79837151219512e-16	SGK2
THCA	51098	3.71e-09	56.032	66.061	-0.237547819736021	1.46846073298429e-08	IFT52
THCA	4605	0.048336	2.16	1	1.11103131238874	0.0729325566899516	MYBL2
THCA	149699	0.92402	1	1	0	0.934008725701944	GTSF1L
THCA	84969	0.42558	6.082	4.646	0.38855666222199	0.47133200811359	TOX2
THCA	57158	0.00018088	1	1	0	0.00039238243902439	JPH2
THCA	51526	5.4008e-12	42.895	54.108	-0.335032424159064	3.09454531040513e-11	OSER1
THCA	100505783	0.00017912	23.1	26.775	-0.212993723334198	0.000388821945886251	OSER1-DT
THCA	78997	0.1399	1	1	0	0.188761285008237	GDAP1L1
THCA	128486	0.00043185	11.061	14.206	-0.361018568168091	0.000896256319290466	FITM2
