Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
PCPG	22994	0.018468	15.548	7.679	1.0177386598784	0.0545833879981677	CEP131
PCPG	146705	0.44112	5.46	6.328	-0.212848648665577	0.512484981693776	TEPSIN
PCPG	284184	0.024223	105.39	74.509	0.500251376926141	0.0672780008609557	NDUFAF8
PCPG	124565	0.15244	146.36	134.858	0.118080213617396	0.248977186735297	SLC38A10
PCPG	57597	0.064627	10.373	6.051	0.777587709978276	0.136997066257803	BAHCC1
PCPG	100616294	0.012021	17.981	9.524	0.916833731779025	0.0388574609218437	MIR4740
PCPG	100422944	0.039527	1.707	1	0.771463058365651	0.0966992684529828	MIR3186
PCPG	71	0.094567	2302.973	3502.767	-0.604997527822065	0.178928529032258	ACTG1
PCPG	25794	0.1787	1	1	0	0.276315481706343	FSCN2
PCPG	80233	0.1342	21.795	25.923	-0.250235483460955	0.227299194959748	FAAP100
PCPG	55666	0.58237	73.593	73.885	-0.00571295382942872	0.642922130838989	NPLOC4
PCPG	83882	0.36193	1	1.553	-0.635057829725214	0.438612389181067	TSPAN10
PCPG	5148	0.34003	1	1.791	-0.840765337323874	0.417560603945949	AC139530.1
PCPG	339229	0.982	53.467	58.205	-0.122494360393674	0.986075534343225	OXLD1
PCPG	339230	0.046078	18.963	24.302	-0.357887828567305	0.107780757462236	CCDC137
PCPG	339231	0.046	48.632	30.216	0.686593235006468	0.107702431353574	ARL16
PCPG	9146	0.55294	66.954	73.167	-0.128022858207531	0.616479847935027	HGS
PCPG	102465471	0.31867	1	1	0	0.395598801949718	MIR6786
PCPG	6182	0.70461	16.327	20.903	-0.356450285199206	0.752174672402382	MRPL12
PCPG	1468	0.88867	4.689	5.037	-0.103284451937366	0.909389189532117	SLC25A10
PCPG	2642	1.99e-15	24.15	1	4.59395128394841	2.91364901664145e-14	GCGR
PCPG	348262	0.015005	214.73	160.939	0.416009791085247	0.0464327386091127	MCRIP1
PCPG	116729	0.15589	1	1	0	0.253074464480416	PPP1R27
PCPG	5034	0.034881	357.109	786.059	-1.13827310857812	0.0880945506263048	P4HB
PCPG	396	0.016408	327.173	223.142	0.552091609994677	0.0498889802073516	ARHGDIA
PCPG	10189	0.33925	92.844	89.718	0.0494112195592982	0.416763328255903	ALYREF
PCPG	51529	0.36721	176.925	184.476	-0.0602952171324598	0.443705397340658	ANAPC11
PCPG	5833	0.73024	15.42	14.91	0.0485225076315918	0.774155188958265	PCYT2
PCPG	51547	0.25839	19.766	18.037	0.132061543108323	0.359218332255979	SIRT7
